postalCode,lat,lon,locality,label,poi_id,types
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WM9,["EntertainmentAndEvent" "Visit"]
22490,48.527538,-2.00327,Plouër-sur-Rance,Descente de la Rance en canoë-kayak de Dinan à Plouër-sur-Rance,FMABRE022V544T17,["EntertainmentAndEvent"]
35780,48.61757,-2.02879,La Richardais,Atelier – Astres et marées,FMABRE035V52BBFF,["EntertainmentAndEvent"]
22100,48.457322,-2.0378079,Lanvallay,Sortie nature - Plantes qui se mangent et qui guérissent,FMABRE022V540X7J,["EntertainmentAndEvent"]
35780,48.6170895,-2.028094,La Richardais,Visite guidée - Espace découverte EDF,FMABRE035V528WLK,["EntertainmentAndEvent" "Visit"]
35400,48.65012,-2.02277,Saint-Malo,Transition écologique,FMABRE035V521CV7,["EntertainmentAndEvent"]
35800,48.6238537,-2.0667534,Saint-Briac-sur-Mer,Puces des couturières,FMABRE035V522O7Z,["EntertainmentAndEvent"]
22490,48.52731,-2.0039,Plouër-sur-Rance,Fest -noz,FMABRE022V544ZAC,["EntertainmentAndEvent"]
22100,48.4577583,-2.0359289,Lanvallay,Nature à l’aube et p'tit déj dans l’herbe - Les Minutes Bleues,FMABRE022V543FQX,["EntertainmentAndEvent"]
22100,48.4560699,-2.0380236,Dinan,Balade rando / bateau goûter avec Kaouann,FMABRE022V53Z3Y0,["EntertainmentAndEvent"]
35800,48.63423,-2.05682,Dinard,Alter Duo : piano & contrebasse,FMABRE035V52C18E,["EntertainmentAndEvent"]
35800,48.63518,-2.05315,Dinard,Dinard en Fête à Saint-Alexandre,FMABRE035V52C5J9,["EntertainmentAndEvent"]
22100,48.45403,-2.04056,Dinan,Exposition photos : Poèmes Photographiques,FMABRE022V540UTB,["EntertainmentAndEvent"]
22490,48.53056,-2.0581,Pleslin-Trigavou,Spectacle : Nanabozho - JEP,FMABRE022V53XWW6,["EntertainmentAndEvent"]
35800,48.6208,-2.13657,Saint-Briac-sur-Mer,Visite guidée - Saint-Briac & ses légendes,FMABRE035V529DJ1,["EntertainmentAndEvent" "Visit"]
22100,48.46537,-2.08794,Quévert,Animations à la Bergerie du Manoir,FMABRE022V543X73,["EntertainmentAndEvent"]
35780,48.60864,-2.03529,La Richardais,Atelier créatif au musée Manoli – Nuage Nuage,FMABRE035V52CU83,["EntertainmentAndEvent"]
35800,48.6365,-2.10754,Saint-Lunaire,Visite guidée - Saint-Lunaire & ses légendes,FMABRE035V529DQ5,["EntertainmentAndEvent" "Visit"]
22100,48.45262,-2.04307,Dinan,Concert : Fondations,FMABRE022V543SQP,["EntertainmentAndEvent"]
22100,48.4502307,-2.04478,Dinan,Endormez le château de Dinan - Les Minutes Bleues,FMABRE022V543F5O,["EntertainmentAndEvent" "Visit"]
35800,48.6399259,-2.057202,Dinard,Exposition Irving Penn - Photographies de la Collection Pinault,FMABRE035V52BQIX,["CulturalSite" "EntertainmentAndEvent"]
35400,48.6508295,-2.0237819,Saint-Malo,Bronzes du Burkina-Faso,FMABRE035V51RV06,["EntertainmentAndEvent"]
22100,48.45666,-2.05324,Dinan,Jeudi Locos : Concert de Mamylove Trio (musique mandingue énergisante),FMABRE022V5458JT,["EntertainmentAndEvent"]
