Code_commune_INSEE,Nom_commune,Code_postal,Ligne_5,Libellé_d_acheminement,coordonnees_geographiques_x,coordonnees_geographiques_y
27567,STE MARIE DE VATIMESNIL,27150,,STE MARIE DE VATIMESNIL,49.271729834,1.580921507
27568,STE MARTHE,27190,,STE MARTHE,48.957015417,0.88096891
27569,ST MARTIN DU TILLEUL,27300,,ST MARTIN DU TILLEUL,49.106486553,0.526191589
27576,STE OPPORTUNE DU BOSC,27110,,STE OPPORTUNE DU BOSC,49.168185935,0.840541325
27577,STE OPPORTUNE LA MARE,27680,,STE OPPORTUNE LA MARE,49.424410094,0.534814675
27591,ST PIERRE DE CORMEILLES,27260,,ST PIERRE DE CORMEILLES,49.238488743,0.364689494
27594,ST PIERRE DES IFS,27450,,ST PIERRE DES IFS,49.266076642,0.608177586
27601,ST SAMSON DE LA ROQUE,27680,,ST SAMSON DE LA ROQUE,49.42572288,0.424990429
27614,SANCOURT,27150,,SANCOURT,49.35294143,1.676682153
27621,SEREZ,27220,,SEREZ,48.9331804,1.357718692
27629,THIBERVILLE,27230,,THIBERVILLE,49.13211095,0.440025129
27638,LE THUIT DE L OISON,27370,LE THUIT SIGNOL,LE THUIT DE L OISON,49.260933216,0.941135608
27643,TILLIERES SUR AVRE,27570,,TILLIERES SUR AVRE,48.761045349,1.028163981
27659,LA TRINITE,27930,,LA TRINITE,48.987019866,1.236294333
27660,LA TRINITE DE REVILLE,27270,,LA TRINITE DE REVILLE,48.966918117,0.510878178
27668,LE VAL DAVID,27120,,LE VAL DAVID,48.979620051,1.262206921
27672,VASCOEUIL,27910,,VASCOEUIL,49.445820024,1.385737641
27684,LE VIEIL EVREUX,27930,,LE VIEIL EVREUX,49.003444075,1.212958736
27692,VILLETTES,27110,,VILLETTES,49.154505976,1.046017054
27693,SYLVAINS LES MOULINS,27240,COULONGES,SYLVAINS LES MOULINS,48.905431432,1.098740558
27694,VILLEZ SOUS BAILLEUL,27950,,VILLEZ SOUS BAILLEUL,49.108111951,1.365299382
28003,ALLAINVILLE,28500,,ALLAINVILLE,48.720985482,1.29440409
